Text,Label
அதிமுகவில் ஒரே தலைமை வேண்டும் என்று போர்க்கொடி தூக்கி விட்டார்கள் எனேன்றால் எரண்டு திருடர்கள் ஒன்று சேன்று ஒன்று கழட்ட முடியாது என்று புரிந்து விட்டது எபிஎஸ் ஒபிஎஸ்,P
ஆனால் அந்த பேண்ணாக எருந்து ஆனா மாறம்போது ஒன்றும் பிரவாயில்லைய் ஆயே அவங்க கல்யாணம் பண்ணாலுமே வந்து குழந்தைக்குட்டின்னு அந்த குடும்ப விருத்தியாகாதே பிறகு என்ன பா வாழ்க்கு எது எல்லாமல் என்ன வாழ்க்கு அந்த பையன் வாழ்க்கு அப்படின்னு மாதிரி ஒரு நினைப்போது,G
அப்பாவை அப்பானு கூடுமா அல்ல எரண்டு பேரிம்மா அப்பானு கூடுமா எல்ல எரண்டு பேரிம்மா அம்மானு கூடுமா அப்பா அப்பா யாரு தத்து எடுத்து வளைக்குறீங்க அல்ல தத்து எடுத்தால அம்மாவுணம் அப்பாவுணம் அல்ல,G
அப்ப எவ்வளவு மோசமான சிச்சுவேஷன் எருந்தால் உம் எவ்வளவு கஷ்டத்தில் எருந்தால் உம் தன்னம்பிக்கை எருந்தால் வைராக்கியம் எருந்தால் வாழ்க்கையில் நம்ம செயிக்க வேண்டும் என்ற வேறி எருந்தா நம்ம கண்டிப்பா அந்த சூழ்நிலையில் எருந்து வேளியே வந்து ஒரு சாதனையாளர் ஆக ஆக முடியும்,N
விழிப்புணர்வு விழிப்புணர்வு வந்துட்டாங்க,R
நானும் என்னுடைய லைஃப்ல சாதிக்கண் உம் மச்சான் நீ எதுலடா சாதிப்ப ஒனக்கு என்ன தேரியும்,C
மனிதர்களின் புத்தி எரண்டே விதம் தான் தேவை என்றால் வார்த்தைகளில் தேனை கொட்டி பேசுவார்கள் தேவையில் உல் என்றால் வார்த்தைகளை தேள் மாதிரி கொட்டி பேசுவார்கள்,N
காலமும் சூழ்நிலைய் உம் அவனது எயல்பான குணத்தை காட்டிக் கொடுத்து விடும் நடித்துப் பேசுபவர்களிடம் மனம் திறந்து பேசாதே மனம் திறந்து பேசுபவர்களிடம் நடிக்காதே,N
ஆனா எழை குடும்பத்தில் பிறந்த தாழ்த்தப்பட்ட சாதியில் பிறந்த சக்கிலேன பழியென பறைய் ஆ அவன் திரும்பி பார்க்கிறானா ஒங்கள் லட்சணம் என்னன்னு தேரிஞ்சுக்கோ அவ்வளவு கேவலம் எது ஒன்னே போதும் ஒன் அருகதை என்னன்னு காட்ட ஊருக்கு,P
ஒரு பாலின அடையாளத்துக்க் உள்ளதான் எருக்கணும் எப்படி நீ அனாதான் எருக்கணும் பேண்ணாதான் எருக்கணும் என்று ஒரு கட்டாயப்படுத்துறோமோ அதே மாதிரி மற்ற சென்றன் சேக்யாலிடிக்க் உள்ளதான் நீ எருக்கண் உம் எல்லைன்னா நீ ஒரு தேளிவே எல்லாத ஆள் என்று ஒரு வட்டத்துக்க் உள்ள அடிச்சுட்டு வா,G
ஒதயநிதியோட கார் கமலாலய வாரத்துக்கு அருகதை எல்லை கமலாலயத்துக்கு ஒரு கார் வரணும்னா அதுக்கு ஒரு தகுதி வேணும் சும்மா போற வரன் கார் எல்லாம் ஒள்ள விட்றதில்ல,P
நான் யாரையும் நம்பி எல்லை என்று சொல்பவர்கள் திமிர் பிடித்தவர்கள் போல தேரியலாம் அது ஒண்மை எல்லை அவர்கள் எல்லோர்ல் உம் எமாற்றப்பட்டும் புறக்கணிக்கப் பட்ட் உம் எருக்கலாம் என்பதே ஒண்மை,N
என்ன சொல்றான் நீ மாட்டுக்கறி தினக்கூடாது அப்படிங்கிறான் பசுக்கரி தின்ன கூடாது என்று சொல்றான் ஒன் சுதந்திரத்தை மறுக்கிறான் எதுதான் சனாதனம் எந்த கோட்பாடு தான் அவன எழுக்குது அதனாலதான் சேத்த மாட தின்றவன போய்ட்டு அடிச்சு கொல்றான் அப்போ அவனுக்கு மனிதர்களை விட சேத்த மாடு ஒடைய வேல்யூ பேருசு,P
காமேடி பண்ண சொன்னா ஒருத்தன ஒருவ கேலி பண்ணிட்டு அதுதான் காமேடி என்பான் எவங்க சொல்லிட்டு போயிடுவாங்க ஆனா சேன்சிட்டிவான நபர்கள் எதை எத்துக்க முடியாம தப்பான முடிவேடுக்க கூட வாய்ப்பு எருக்கு,C
ஒனக்குள் எப்போதும் ஒரு தேடல் எருந்து கொண்டே எருக்கட்டும் தேடல்தான் ஒன்னை ஒரே எடத்தில் தேங்கி நிற்க விடாமல் முன்னேற்றத்தை நோக்கி நகர்த்திக் கொண்டே எருக்கும்,N
பொம்பளைக்கு அட கிறுக்கு அகம்பாவம் எருக்கக் கூடாது பொறுமை எருக்கணும் போக்கிரி எருக்கக் கூடாது,G
எந்த ராமசாமி கொஞ்சம் ஒழுங்கா எருக்க சொல்லுங்க எல்லன்னா நடுரோட்டில் வைத்து தலையா அறுத்திடுவேன் என்கிட்ட நான் சொன்னா பண்றதுக்கு நூறு பேர் எருக்கா அந்த நாய் பையனுக்கு ஒரு பயலும் கிடையாது,P
பைபிளை பற்றி நம்ம வந்து ஒரு குற்றச்சாட்டை எல்ல ஒரு ஆர்கி மட்டும் வைக்கும்போது நம்ம எல்லாமே வசனத்தில் எருக்கிற வசனத்தை அப்படியே படிச்சு காமிச்சேன் ஆனா அவங்க வசனத்துக்கு எதிராக அதாவது வசனத்துக்கு வேளியில் எருக்கக்கூடிய அவங்களை புரிதல் அப்படின்னு சொல்லி நிறைய விஷயத்தை புகுத்து குர்ஆன் ஹதீஸ் வரும்போது,R
மிகப்பேரிய தவறு விசய் பனி எருக்கான் நிச்சயம் அதற்கு மன்னிப்பு கேக்கணும் நான் சாபம் கூட விட்ட் இறேன்னு வச்சுக்கோங்க என்று ஒவ்வொரு எஸ்லாமியன் உம் அவன் குடும்பம் நாசமா போகணும் என்று எறைவனிடம் பிரார்த்தனை சேய்கிறான் அவனுடைய ஆணவம் அவனை அளிக்கும்,C
குண்டா எருந்தீங்களா அதேல்லாம் ஒங்கள பார்த்தா புள்ளத்தாச்சி மாதிரியே தேரிஞ்சுச்சு அண்ணா ஒரு நிமிஷம் எங்கே நம்ம எல்லார் உம் படிக்கிற புராண கதையில் இருந்து பார்க்கிற சினிமா வரைக்கும் எடையே வச்சு தான் கேலி பண்றாங்க,C
முஸ்லிம்கள் சிலர் மழையளவு போன்ற பாவங்களுடன் உன் வருவார்கள் ஆனால் அவற்றை அவர்களுக்கு அல்லாஹ் மன்னித்து விட்டு யூதர்கள் மீத் உம் கிறிஸ்தவர்கள் மீத் உம் வைத்து விடுவான்,R
யாரைக் கேட்டு போன நீ ஒத்தா பல்லு எல்லாம் கழட்டிடுவேன் ஞாபகம் வச்சுக்கோ ஒன்னோடதைய் உம் கழட்டிடுவோம் ஒங்க அப்பன் ஒடதையும் கழட்டிடுவேன் நீ ஒருத்தன் தான் ஊர்ல புளுத்தி புண்டையா,P
அது மட்டும் எல்ல நீங்க புரொடியூஸ் பண்ண வள்ளி படத்தில் உம் வண்டு ஃபுல் சாங்ஸ் ஒட பியூட்டிஃபுல் சாங்ஸ் எல்ல வள்ளி வந்து கார்த்திக் பண்ணாங்க சாமி பண்ணல வள்ளி படத்தில் எருக்கிற பாடல்கள் எல்லாம் கார்த்திக் ராசா அவர்கள் தான் போட்டார் என்ற மாதிரி ஒப்பனா அவ்ளோ பேரு ஸ்டேச்ல அவ்ளோ கேமராக்கு முன்னாடி எல்லாம் எளையராசாவுக்கு மொக்க கொடுக்கிற மாதிரி ஒரு பதிலை சொன்னதுக்கு அப்புறம் எளையராசா பேச முடியல,C
வேயிட்டா எருக்கான்னு பாடிசன் பண்ணாதீங்க யாரையும்,C
கற்றுக்கொள்வது மனித பண்பு கற்றுக் கொடுப்பது மனித மாண்பு கற்க தொடங்குபவன் மாணவன் கற்றுக் கொண்டே எருப்பவன் ஆசிரியர் கற்று கற்று கொடுப்பதனால் தான் ஆசிரியரை கற்றுக் கொடுப்பவர் என்று சொல்லுகின்றோம்,N
ராமாரே எந்திரிச்சு வந்து நான் எங்கே பிறக்கவில் உல் என்று சொன்னாலும் அந்த கூட்டம் வந்து அதை நம்ப மறுக்கும் அப்படிங்கறத என்னோட ஒணர்வு எதன் மூலமாக அரசியல் ஆதாயத்துக்க் ஆக ஒரு மத கலவரத்தை தூண்டுவதற்க் ஆக திரும்பத் திரும்ப அது பிரச்சனை பண்ணிக்கிட்டு எருக்க வேண்டும் என்பதற்க் ஆக ஸ்மார்ட் ஒடைய அமைதியை சீர்குலைக்க் உம் தான் எந்த வழிபாட்டு தலத்தை வந்து ஒருவாக்கி,R
அந்த ஆண்டவனா பாத்து ஒரு வேலையை கொடுத்தாதான் ஆச்சு எத்தனை நாளைக்கு தான் ஹோம் ஒர்க் தேரியுமா போல நம்ம சாதிசனம் தேரிஞ்சா எம்புட்டு அசிங்கம் தேரியுமா,C
காசி மதுரா என்ன் உம் எந்தியால வந்து என்னும் ஆயிரத்துக்க் உம் மேற்பட்ட எடங்களை வந்து எடிப்போம் என்கிறார்கள்,R
அந்த கட்டிடத்தை நாங்க ஒவ்வொரு முறை பார்க்கும்போதும் முஸ்லிம்களுக்கு எற்பட்ட அந்த அநீதி வந்து ஞாபகத்துக்கு வருது என்ன் உம் ஒவ்வொரு ஒயிர்கள் உம் அங்கு கொல்லப்பட்டது எங்களுக்கு ஒவ்வொரு முறையும் அதை பார்க்கும்போது எங்களுக்கு ஞாபகத்துக்கு வருது,R
மொத்த போலீசும் கரெக்டா ஆயிடுச்சு போலீஸ்க்கு ஈவேராக்க் உம் எல்ல நான் ஒவ்வொரு ஹிந்து விட்டா போவேன் முடிஞ்சா தடுத்து பாரு ஐகோர்ட் ஆவது மயிராவத் ஆ,P
அது பாபரி மஸ்சிதின் சொன்னதுக்கு அப்புறம் உம் கோட்டின் மூலமாகவ் உம் ஒங்களுடைய அதிகார துஷ்பிரயோகம் மூலமாகவ் உம் அதை எங்களிடம் எருந்து எடுத்து எங்களுக்கு முன்னாடியே பலவிதமான மேசாரிட்டி நாங்க எருக்கும் அப்படின்னு சொல்லி நீங்க ஒங்களுடைய பவர் அப்ரூவ் பண்றது மாதிரி ப்ரூவ் பண்ணி அந்த எடத்தில் அதே எடத்தில் நீங்க கோயில் கட்டுவதில் எங்களுக்கு மனசாட்சிக்கு பொதுவா ஒடன்பாடு எல்லை,R
வயதாகி போகலாம் கட்டுக்கோப்பான ஒடல் பலி விழுந்து போகலாம் எருக்கின்ற வசதிகள் கூட காணாமல் போகலாம் ஆனால் மனதால் அழகானவர்கள் மரணம் வரை சிறந்தவர்களே,N
பேரும்பால் உம் பிரதமர் சொல்கிறார் எல்லாரும் அமைதியா எந்திய தேசத்தில் எருக்கிறதுனுல் ஆல நீங்க வந்து நாங்க அவங்க எல்லாம் அங்கீகரித்து தாங்கன்னு சொல்றீங்க ஆனா கண்டிப்பாக எந்த ஒரு ஒண்மையான முஸ்லிமும் அங்கீகரிக்க மாட்ட,R
எவருக்கு அறிவில்ல பன்னீர் சேல்வத்துக்கு அறிவு எருக்கா எல்லையா நான் சொல்றேன் எவர் எல்லை அதனாலதான் யார் எதை சொன்னால் நம்பிகிட்டு அப்படியே போயிடுவார்,P
சேருப்புல சாணி முக்கி சாணியில் சேருப்பு முக்கி அடிக்க கூடிய அடி தினம் தினம் அவர்கள் மீது விழ வேண்டும்,R
எப்படின்னா பக்கத்து வீட்டு அங்கிள் எப்ப பாரு அந்த ஆண்ட்டி அடிச்சிட்டே எருப்பாங்க என்னொரு பக்கம் பையனா எப்படி பண்ணலாம் பொண்ணுன்னா எது பண்ண கூடாது என் எங்க வீட்லயும் நான் எவ்ளோ பேஸ் பண்ணி எருக்கேன் அப்பதான் ஒரு விஷயம் எனக்கு புரிஞ்சுச்சு எந்த சொசைட்டியில எதுவுமே கோலா எல்ல நிறைய எற்றத்தாழ்வு எருக்கு எதேல்லாம் யாரு காரணம் யாரு பார்த்துக்கணும்னு நிறைய கேள்வி எனக்க் உள்ள எருந்துச்சு,G
நீங்கள் சேக்ஸை எப்படி சேய்வீர்கள் நீங்கள் சேக்ஸ் சேய்தால் ஒங்களுக்கு குழந்தை பிறக்குமா,G
சனாதான எதிர்ப்பு மாநாடு என்று பேயர் வைக்காமல் சனாதான ஒழிப்பு மாநாடு என்று பேயர் வைத்ததற்கு என்னை அழைத்ததற்கு நன்றி,P
தப்பு பண்ணாத தான் பயப்படணும் சரியா,N
தன்னம்பிக்கை எருந்தால் எப்படி ஒரு சூழ்நிலை எருந்தால் உம் ரொம்ப வேளியே வர முடியும் கேட்ட எண்ணங்கள் ரொம்ப வரும் அதுக்கு நல்ல எண்ணங்கள் மட்டுமே நினைக்கண் உம்,N
என்னிடத்திலே பாவம் ஒண்டு என்று ஒங்களில் யார் என்னை குற்றப்படுத்த முடியும் எப்படிப்பட்ட நூறு சதவீதம் பேர்ஃபேக்ட் எந்த நூறு சதவீதம் பர்ஃபேக்ட் என்கிறது கூட வந்து எதிர் தரப்பில் எருக்கிறவங்க தான் சொன்னாங்க அவர் பேர்ஃபேக்ட் எல்லைங்க என்று அதுதாங்க சொல்றோம் பர்ஃபேக்ட் எல்லாதவர்களை பின்பற்றுகிற ஒங்களுக்கே எவ்வளவு தூரம் வந்து அதுக்கு எதைய் ஆவது சப்ப கட்டு கட்டலாம் என்ற போது எங்களுக்கு பர்ஃபேக்ட்,R
சாய் வடிவத்தை பத்தி நீ எப்படி கிண்டல் அடிப்பா ஒனக்கு தப்பா தேரியலையா எப்போ நீ வீட்டுக்கு போகும் போது ஒங்க அம்மா எதிர்பார்த்து எருப்பாங்களா எல்லையா நான் எப்ப வீட்டுக்கு போகும்போது ரெண்டு சீவன் எதிர்பார்த்து எருக்கீங்க அம்மா வருவாள் என்று நீ கொண்டு போய் கிளியோபாட்ராவை நிறுத்து ஐஸ்வர்யாராய் நிறுத்து படிப்பானா அவனுக்கு நான் தான் அழகி,C
நீங்கள் பேண்ணும்தானே எதுக்கு ஆம்பில் மாதிரி சொல்லிட்டு எந்த பேண்ணுடைய வாழ்க்கை எதுக்கு எடுக்குறீங்க ஒங்களுக்கேல்லாம் வேற வேலை வேட்டிக்க்கில்லையா,G
எந்த வீட்ல நானும் வேலை பார்க்கிறேன் அவனம் உம் வேலை பாக்குறான் ஆனந்த வீட்டு வேலை நான் மட்டும்தான் பார்க்கிறேன் அவனை பாருங்க சாப்பிட தட்ட கூட எடுத்து வைக்க மாட்டேங்குற ஆனா நீங்க ஒன்னும் சொல்ல மாட்டேங்கறீங்க எதுவும் நான் உம் பண்ணா எவ்ளோ பயங்கரமா திட்டுறீங்க எது என்ன நியாயம் எப்ப என்ன சொல்றீங்க பொண்ணுன்னா எதேல்லாம் கத்துக்க் உம் அதுதானே பொறந்த வீட்டு மரியாதை காப்பா,G
எனவே ஒரு நதி போல வாழ முயற்சி சேய்யுங்கள் ஒங்கள் கடந்த காலத்தை மறந்து விட்டு எதிர்காலத்தில் கவனம் சேலுத்துங்கள் எப்போதும் நல்லதைய் ஆ எண்ணங்கள்,N
கற்றுக் கொள்ளவ் உம் கற்றுக் கொடுக்கவ் உம் தான் நான் பிறந்த் உள்ளோம் குறைகளை சொல்லி காயப்படுத்த அல்ல தவறு என்றால் கற்றுக் கொடுங்கள் சரி என்றால் கற்றுக் கொள்ளுங்கள்,N
எவனோ சொல்றேன் வேள்ளையா எருந்தா அழகு அது தாழ்வு மனப்பான்மை ஒன்னுடைய ஒயிர் ஒன்னுடைய நிறத்தை வைத்து தீர்மானிக்கப்படுவது அல்ல,N
அவர் எறந்த பின்னாடியே ஒரு ஒயிர்த்தேழுந்து வந்தார் என்ன எப்போ யூடியூப் எல் நான் அடிக்கடி டாக்குமேண்ட்ரி பார்க்கிறது எனக்கு டைம் எருக்கிறப்ப எனக்கு வழக்கம் அதுல எப்போ வந்து சொல்றாங்க நடக்கவே எல்லை அதாவது ஒயிர்த்தேழுந்து வருவது வந்து,C
மொத்த போலீசும் கரெக்டா ஆயிடுச்சு போலீஸ்க்கு ஈவேராக்க் உம் எல்ல நான் ஒவ்வொரு ஹிந்து விட்டா போவேன் முடிஞ்சா தடுத்து பாரு ஐகோர்ட் ஆவது மயிராவத் ஆ,P
நீ தகுதி எல்லாதவன் என்று சொல்வதற்கு எங்கு எவருக்கும் எந்த தகுதிய் உம் எல்லை என்பதை புரிந்து கொள் ஆனால் நீ அடையவிற்க் உம் வேற்றிக்க் ஆன தகுதியை நீ தான் வளர்த்துக் கொள்ள வேண்டும் என்பதை மட்டும் மறந்து விடாதே,N
என்னுடன் என் தங்கச்சி மேல் அதிக பாசம் வைக்கிறவன் தான் வரணும் எல்ல ஒன்னை விட நல்லவன்னு சொல்லு ஆனா ஒன்னை விட என் மேல பாசம் வைக்க முடியும் என்று மட்டும் சொல்லாத என்ன,N
எது எஸ்லாமியர்கள் ஒட கண்ணீரால் ஒருவாக்கப்பட்ட ஒரு கட்டிடம் ஆக நாங்க எதை பார்க்கிறோம் என்ன் உம் எது முஸ்லிம்களுக்கு எழைக்கப்பட்ட ஒரு மிகப்பேரிய அநீதியான நான் எதை பார்த்துட்டு எருக்கோம்,R
விமானம் காற்றுக்கு எதிராக புறப்படுமே தவிர காற்றுடன் அல்ல கவலைப்படுவதால் நாளைய பிரச்சனைகள் எதுவும் சரியாக போவத் இல்லை மாறாக அது ஒங்களின் என்றைய அமைதியை எடுத்துக் கொள்கிறது,N
குர்ஆனில் எப்படி கேவலமான வசனங்கள் எல்லாம் எருக்குது விபச்சாரம் சொல்லப்பட்டிருக்கு அதுக்கு பதில் சொல்லுங்கன்னு சொன்னா சேபக் கூட்டத்தை பத்தி பேசிட்டு எருக்காங்க அங்க ஆவியானவர் எறங்குகிறார்கள் எப்படித்தான் கிறிஸ்தவத்திற்கு அவங்க கூப்பிட்டு சில பேர் சொஸ்தம் ஆகுறாங்க எதுக்கு என்னங்க வாதம் ஒன்கிட்ட கேட்ட கேள்விக்கு எது விபச்சாரம் என்று பதில் சொல்லுங்க வச்சா அதுக்கு வாயை திறக்கல,R
அவர் எறந்த பின்னாடியே ஒரு ஒயிர்த்தேழுந்து வந்தார் என்ன எப்போ யூடியூப் எல் நான் அடிக்கடி டாக்குமேண்ட்ரி பார்க்கிறது எனக்கு டைம் எருக்கிறப்ப எனக்கு வழக்கம் அதுல எப்போ வந்து சொல்றாங்க நடக்கவே எல்லை அதாவது ஒயிர்த்தேழுந்து வருவது வந்து,C
எங்கள் ஐயா கருணாநிதி பிள்ளை பேற்றதால் தான் எங்களுக்கு ஆண்மை எருக்கு புள் உள பேத்துக்கிறோம் கலைஞர் ஆன்மீ எருந்தது எங்கள் தளபதி வந்தார் எங்கள் ஒதயநிதி வந்தார் ஒங்க அப்பனுக்கு விதை பழுது ஒங்க ஆத்தாளுக்கு லேண்ட் பழுது அதுக்கு பொறக்கலனா நாங்க என்னடா பண்றது,P
என்னுடன் என் தங்கச்சி மேல் அதிக பாசம் வைக்கிறவன் தான் வரணும் எல்ல ஒன்னை விட நல்லவன்னு சொல்லு ஆனா ஒன்னை விட என் மேல பாசம் வைக்க முடியும் என்று மட்டும் சொல்லாத என்ன,N
கால் மேல கால் போட்டு ஒட்காராதே என்ன அதுவும் ஆம்பள பிள்ளை முன்னாடி ஒன் பொம்பள புள்ள ஒழுங்கா ஒட்கார்ந்து அறிவு வேண்டாம்,G
சில பேர் வந்துல பாத்தால் ஆயே வந்து சட்ட்புண்டுறாங்க எவன் பொண்ணுதானே பொண்ணுது மேருதான் பேசுறாங்க பொண்ணு மேரு நடக்கறாங்க சில பேர் நடவடைக்கையைப் பாத்து அந்த வலிவுசுவையைப் பாத்துக்கொண்டு போன்று,G
தீ வித்த பரதேசி ஊரா வீட்டு சொத்துல ஊர் சுத்துற ஒக்கால ஒளி நரேந்திர மோடி வேணுமா எல்ல தன் சொத்தை நாட்டுக்கு எழுதிக் கொடுத்த ராகுல் காந்தி வேணுமா,P
ஒரே நாளில் எவ்வளவு கோடிஸ்வரன் ஆயிட முடியாது அப்படி ஒரே நாள்ல ஆனா அந்த பணமும் வசதியும் நிலைக்கவில் இல் எவன் ஒருத்தன் கஷ்டப்பட்டு பணத்தை சம்பாதிக்கிற அவனுக்கு தான் அந்த பணத்தோட அருமை தேரியும் அப்பதான் நம்ம பணத்தைய் உம் காப்போம் தன்னைய் உம் காப்பாத்துவான்,N
அனுபவம் சிலருக்கு மகிழ்ச்சியை தருகிறது சிலருக்கு வலிகளை தருகிறது மகிழ்ச்ச் இயான அனுபவத்தை மனதில் வைகள் நிறைந்த அனுபவத்தை நீ ஒன் வாழ்வில் முன்னேறும் எணிப்படிகள் ஆக வை,N
அண்ணாமலை எச்சக்கலை நாயே ஒட்டு போடறாங்க பொம்பளைங்க சேருப்பால அடிச்ச பையன்,P
அங்க கோயில் வருவது வந்து எங்களுக்கு பிரச்சனை கிடையாது ஆனா அங்க எருக்கக்கூடிய அந்த மசூதியை எடித்துவிட்டு அங்க கோயில் கட்டுனது தான் எங்களுடைய நாங்க எங்களுக்கு ஒடன்பாடு கிடையாது நம்முடைய பொருளாளர் எற்கனவே சொல்லி எருக்காங்க ஆன்மீகத்தை அரசியலைய் உம் ஒண்ணா ஆக்க,R
டேய் தப்பு பண்ணாதீங்க தப்பு பண்ணாதீங்க மிருகமா மாறாதிங்க மனிதா ஒன் போனா அடுத்து அருணாக்கயிறு வருவீங்க போல பூணூல் எருக்கிற நாய் அடுத்த அருணாக்கிரா எருக்கும்,P
எவங்க வந்து எந்த ஊர்ல வீட்டை மாத்தி கொடுத்த் இட்ட் உன் அப்படின்னு சொன்னாக்கா ஒடனே ஒரு பாதி அடையாளம் எந்த அம்மா பாதிரியார் ஆயிடுவாங்க எவங்க போஸ்டிங் வாங்குவது போஸ்டரும் நம்ம குடும்பத்தைய் உம் நம்ம தேய்வத்தைய் உம் நாசம் பண்றாங்க நம்ம பொறப்பையும் நாசம் பண்றாங்க,R
எந்த ராமசாமி கொஞ்சம் ஒழுங்கா எருக்க சொல்லுங்க எல்லன்னா நடுரோட்டில் வைத்து தலையா அறுத்திடுவேன் என்கிட்ட நான் சொன்னா பண்றதுக்கு நூறு பேர் எருக்கா அந்த நாய் பையனுக்கு ஒரு பயலும் கிடையாது,P
விசுவாசி குடும்பம் தான ஒன் வருஷத்தை குடிச்சா அந்த குடும்பம் பிழைக்குமா நான் கேட்கிறேன் ஒண்மைய் ஆன விசுவாசிக்கு விஷத்தை குடிச்சால் உம் ஒன்னும் சேய்யாதுன்னு கர்த்தர் சொல்றாரு நீங்க சுவாசிதான ஐயா நீங்க வசித்து குடிச்சா ஒயிரோட எருப்பீங்களா சொல்லுங்க,R
